dateRep,cases,deaths,countriesAndTerritories
16/03/2020,84,0,Czech_Republic
15/03/2020,64,0,Czech_Republic
14/03/2020,34,0,Czech_Republic
13/03/2020,22,0,Czech_Republic
12/03/2020,31,0,Czech_Republic
11/03/2020,23,0,Czech_Republic
10/03/2020,8,0,Czech_Republic
09/03/2020,6,0,Czech_Republic
08/03/2020,7,0,Czech_Republic
07/03/2020,7,0,Czech_Republic
06/03/2020,4,0,Czech_Republic
05/03/2020,3,0,Czech_Republic
04/03/2020,0,0,Czech_Republic
03/03/2020,2,0,Czech_Republic
02/03/2020,3,0,Czech_Republic
01/03/2020,0,0,Czech_Republic
29/02/2020,0,0,Czech_Republic
28/02/2020,0,0,Czech_Republic
27/02/2020,0,0,Czech_Republic
26/02/2020,0,0,Czech_Republic
25/02/2020,0,0,Czech_Republic
24/02/2020,0,0,Czech_Republic
23/02/2020,0,0,Czech_Republic
22/02/2020,0,0,Czech_Republic
21/02/2020,0,0,Czech_Republic
20/02/2020,0,0,Czech_Republic
19/02/2020,0,0,Czech_Republic
18/02/2020,0,0,Czech_Republic
17/02/2020,0,0,Czech_Republic
16/02/2020,0,0,Czech_Republic
15/02/2020,0,0,Czech_Republic
14/02/2020,0,0,Czech_Republic
13/02/2020,0,0,Czech_Republic
12/02/2020,0,0,Czech_Republic
11/02/2020,0,0,Czech_Republic
10/02/2020,0,0,Czech_Republic
09/02/2020,0,0,Czech_Republic
08/02/2020,0,0,Czech_Republic
07/02/2020,0,0,Czech_Republic
06/02/2020,0,0,Czech_Republic
05/02/2020,0,0,Czech_Republic
04/02/2020,0,0,Czech_Republic
03/02/2020,0,0,Czech_Republic
02/02/2020,0,0,Czech_Republic
01/02/2020,0,0,Czech_Republic
31/01/2020,0,0,Czech_Republic
30/01/2020,0,0,Czech_Republic
29/01/2020,0,0,Czech_Republic
28/01/2020,0,0,Czech_Republic
27/01/2020,0,0,Czech_Republic
26/01/2020,0,0,Czech_Republic
25/01/2020,0,0,Czech_Republic
24/01/2020,0,0,Czech_Republic
23/01/2020,0,0,Czech_Republic
22/01/2020,0,0,Czech_Republic
21/01/2020,0,0,Czech_Republic
20/01/2020,0,0,Czech_Republic
19/01/2020,0,0,Czech_Republic
18/01/2020,0,0,Czech_Republic
17/01/2020,0,0,Czech_Republic
16/01/2020,0,0,Czech_Republic
15/01/2020,0,0,Czech_Republic
14/01/2020,0,0,Czech_Republic
13/01/2020,0,0,Czech_Republic
12/01/2020,0,0,Czech_Republic
11/01/2020,0,0,Czech_Republic
10/01/2020,0,0,Czech_Republic
09/01/2020,0,0,Czech_Republic
08/01/2020,0,0,Czech_Republic
07/01/2020,0,0,Czech_Republic
06/01/2020,0,0,Czech_Republic
05/01/2020,0,0,Czech_Republic
04/01/2020,0,0,Czech_Republic
03/01/2020,0,0,Czech_Republic
02/01/2020,0,0,Czech_Republic
01/01/2020,0,0,Czech_Republic
31/12/2019,0,0,Czech_Republic
06/04/2020,0,0,Democratic_Republic_of_the_Congo
05/04/2020,20,5,Democratic_Republic_of_the_Congo
04/04/2020,11,2,Democratic_Republic_of_the_Congo
03/04/2020,0,0,Democratic_Republic_of_the_Congo
02/04/2020,25,3,Democratic_Republic_of_the_Congo
01/04/2020,0,0,Democratic_Republic_of_the_Congo
31/03/2020,17,0,Democratic_Republic_of_the_Congo
30/03/2020,23,2,Democratic_Republic_of_the_Congo
29/03/2020,0,2,Democratic_Republic_of_the_Congo
28/03/2020,4,0,Democratic_Republic_of_the_Congo
27/03/2020,9,1,Democratic_Republic_of_the_Congo
26/03/2020,0,0,Democratic_Republic_of_the_Congo
25/03/2020,19,1,Democratic_Republic_of_the_Congo
24/03/2020,0,0,Democratic_Republic_of_the_Congo
23/03/2020,3,1,Democratic_Republic_of_the_Congo
22/03/2020,9,1,Democratic_Republic_of_the_Congo
21/03/2020,0,0,Democratic_Republic_of_the_Congo
20/03/2020,0,0,Democratic_Republic_of_the_Congo
19/03/2020,11,0,Democratic_Republic_of_the_Congo
18/03/2020,0,0,Democratic_Republic_of_the_Congo
17/03/2020,1,0,Democratic_Republic_of_the_Congo
16/03/2020,0,0,Democratic_Republic_of_the_Congo
15/03/2020,0,0,Democratic_Republic_of_the_Congo
14/03/2020,1,0,Democratic_Republic_of_the_Congo
11/03/2020,1,0,Democratic_Republic_of_the_Congo
06/04/2020,292,18,Denmark
05/04/2020,320,22,Denmark
04/04/2020,371,16,Denmark
03/04/2020,279,19,Denmark
02/04/2020,247,14,Denmark
01/04/2020,283,13,Denmark
31/03/2020,182,5,Denmark
30/03/2020,194,7,Denmark
29/03/2020,155,13,Denmark
28/03/2020,169,11,Denmark
27/03/2020,153,7,Denmark
26/03/2020,133,2,Denmark
25/03/2020,131,8,Denmark
24/03/2020,65,11,Denmark
23/03/2020,69,0,Denmark
22/03/2020,71,4,Denmark
21/03/2020,104,3,Denmark
20/03/2020,36,2,Denmark
19/03/2020,91,0,Denmark
18/03/2020,92,3,Denmark
17/03/2020,57,0,Denmark
16/03/2020,48,1,Denmark
15/03/2020,23,0,Denmark
14/03/2020,128,0,Denmark
13/03/2020,160,0,Denmark
12/03/2020,252,0,Denmark
11/03/2020,151,0,Denmark
10/03/2020,75,0,Denmark
09/03/2020,7,0,Denmark
08/03/2020,8,0,Denmark
07/03/2020,3,0,Denmark
06/03/2020,10,0,Denmark
05/03/2020,2,0,Denmark
04/03/2020,3,0,Denmark
03/03/2020,1,0,Denmark
02/03/2020,1,0,Denmark
